market_slug,n_tokens,n_trade_rows,min_timestamp,max_timestamp,min_block_number,max_block_number
will-the-fed-set-interest-rates-above-2pt50-100-bips-or-more-after-their-scheduled-july-meeting,2,0,,,,
will-the-fed-set-interest-rates-above-2pt25-after-their-scheduled-july-meeting,2,0,,,,
will-the-fed-set-interest-rates-above-2pt00-after-their-scheduled-july-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-75-bps-after-their-september-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-50-bps-after-their-september-meeting,0,0,,,,
will-the-fed-increase-interest-rates-by-100-bps-after-their-september-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-25-bps-after-their-september-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-50-bps-after-its-november-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-75-bps-after-its-november-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-100-bps-after-its-november-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-25-bps-after-its-november-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-50-bps-after-its-december-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-75-bps-after-its-december-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-25-bps-after-its-december-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-100-bps-after-its-december-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-50-bps-after-its-february-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-25-bps-after-its-february-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-0-bps-after-its-february-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-75-bps-after-its-february-meeting,2,0,,,,
will-the-fed-increase-interest-rates-by-25-bps-after-its-march-meeting,2,836,,,40006606,40646783
will-the-fed-increase-interest-rates-by-50-bps-after-its-march-meeting,2,525,,,40003188,40645392
will-the-fed-increase-interest-rates-by-0-bps-after-its-march-meeting,2,765,,,40011327,40646571
will-the-fed-decrease-interest-rates-by-25-bps-after-its-march-meeting,2,115,,,40188572,40644978
will-the-fed-increase-interest-rates-by-25-bps-after-its-may-meeting,2,811,,,40648811,42264648
will-the-fed-increase-interest-rates-by-0-bps-after-its-may-meeting,2,803,,,40719120,42264648
will-the-fed-increase-interest-rates-by-50-bps-after-its-may-meeting,2,87,,,40656018,42247078
will-the-fed-decrease-interest-rates-by-25-bps-after-its-may-meeting,2,62,,,40675400,41923511
will-the-fed-decrease-interest-rates-by-25-bps-after-its-june-meeting,2,43,,,42276203,43875973
will-the-fed-increase-interest-rates-by-0-bps-after-its-june-meeting,2,1255,,,42278545,43910799
will-the-fed-increase-interest-rates-by-25-bps-after-its-june-meeting,2,697,,,42391964,43910031
will-the-fed-increase-interest-rates-by-50-bps-after-its-june-meeting,2,23,,,42265422,43711858
will-the-fed-raise-interest-rates-by-25-bps-after-its-july-meeting,2,563,,,43928957,45548943
will-the-fed-raise-interest-rates-by-0-bps-after-its-july-meeting,2,482,,,43895061,45550940
will-the-fed-decrease-interest-rates-by-25-bps-after-its-july-meeting,2,96,,,43877213,45525648
will-the-fed-raise-interest-rates-by-0-bps-after-its-september-meeting,2,397,,,45582932,47779381
will-the-fed-raise-interest-rates-by-25-bps-after-its-september-meeting,2,332,,,45579028,47779017
will-the-fed-raise-interest-rates-by-25-bps-after-its-november-meeting-23,2,167,,,47785553,49379671
will-the-fed-raise-interest-rates-by-0-bps-after-its-november-meeting-23,2,182,,,47843769,49379518
will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,2,107,,,49455833,51094643
will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,2,90,,,49068059,51093748
will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,2,125,,,50934386,52973519
will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,2,46,,,51010686,52971612
will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,2,24,,,52052101,52971753
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-march-meeting,2,358,,,52978939,54884455
no-change-in-fed-raise-interest-rates-after-its-2024-march-meeting,2,372,,,53006417,54897498
will-the-fed-decrease-interest-rates-by-50-bps-after-its-march-2024-meeting,2,285,,,53292532,54884465
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-march-meeting,2,274,,,53006426,54897505
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,2,259,,,55407699,56465876
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,2,211,,,55412559,56465120
will-the-fed-decrease-interest-rates-by-50-bps-after-its-aprilmay-2024-meeting,2,160,,,55408595,56463756
no-change-in-fed-raise-interest-rates-after-its-2024-aprilmay-meeting,2,297,,,55407675,56465521
fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,2,1263,,,56476262,58083535
fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,2,854,,,56465877,58081749
fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,2,1174,,,56465881,58084618
no-change-in-fed-interest-rates-after-2024-june-meeting,2,1102,,,56476267,58081778
fed-decreases-interest-rates-by-25-bps-after-july-2024-meeting,2,2447,,,58086367,60040466
fed-increases-interest-rates-by-25-bps-after-july-2024-meeting,2,3617,,,58110626,60041227
fed-decreases-interest-rates-by-50-bps-after-july-2024-meeting,2,2267,,,58102425,60036344
no-change-in-fed-interest-rates-after-2024-july-meeting,2,2389,,,58089241,60040648
no-change-in-fed-interest-rates-after-2024-september-meeting,2,33656,,,59803750,61989842
fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,2,19542,,,59801665,61989552
fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,2,35147,,,59814296,61989681
fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,2,29901,,,59814188,61989743
fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,2,75016,,,60124805,64011281
will-the-fed-change-rates-to-another-level-after-nov-meeting,2,85692,,,61984847,64011713
fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,2,40511,,,60128594,64011264
fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,2,29840,,,60121862,64011270
no-change-in-fed-interest-rates-after-2024-november-meeting,2,23331,,,60123045,64011301
fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,2,25742,,,60121801,64011666
fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,2,47520,,,60287228,65648056
will-the-fed-change-rates-to-another-level-after-december-meeting,2,41865,,,61989522,65648654
fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,2,34378,,,60268865,65648164
fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,2,39104,,,60281973,65646208
fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,2,59278,,,60272580,65649281
no-change-in-fed-interest-rates-after-december-2024-meeting,2,31892,,,60283254,65648853
fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,2,90889,,,64011781,67304824
fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,2,185194,,,64011781,67305143
fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,2,72509,,,64011783,67305783
fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,2,31246,,,64011782,67304656
no-change-in-fed-interest-rates-after-january-2025-meeting,2,64176,,,64011782,67305401
fed-decreases-interest-rates-by-50-bps-after-march-2025-meeting,2,58051,,,65647419,69254629
fed-increases-interest-rates-by-25-bps-after-march-2025-meeting,2,34526,,,65646957,69252537
fed-decreases-interest-rates-by-25-bps-after-march-2025-meeting,2,40486,,,65649512,69254939
no-change-in-fed-interest-rates-after-march-2025-meeting,2,77471,,,65649513,69254618
fed-increases-interest-rates-by-25-bps-after-may-2025-meeting,2,30945,,,67060130,71239615
fed-decreases-interest-rates-by-50-bps-after-may-2025-meeting,2,35484,,,67060134,71235744
fed-decreases-interest-rates-by-25-bps-after-may-2025-meeting,2,42387,,,67072501,71239217
no-change-in-fed-interest-rates-after-may-2025-meeting,2,46139,,,67063970,71237480
fed-decreases-interest-rates-by-50-bps-after-june-2025-meeting,2,41695,,,67628998,72934016
no-change-in-fed-interest-rates-after-june-2025-meeting,2,48043,,,67631890,72934589
fed-increases-interest-rates-by-25-bps-after-june-2025-meeting,2,35344,,,67631896,72929853
fed-decreases-interest-rates-by-25-bps-after-june-2025-meeting,2,42093,,,67629673,72934451
fed-increases-interest-rates-by-25-bps-after-july-2025-meeting,2,56939,,,69258288,74603624
fed-decreases-interest-rates-by-50-bps-after-july-2025-meeting,2,66695,,,69253906,74605516
no-change-in-fed-interest-rates-after-july-2025-meeting,2,60794,,,69256122,74605448
fed-decreases-interest-rates-by-25-bps-after-july-2025-meeting,2,58618,,,69253517,74605509
no-change-in-fed-interest-rates-after-september-2025-meeting,2,93553,,,71246067,76574606
fed-increases-interest-rates-by-25-bps-after-september-2025-meeting,2,67245,,,71246068,76572227
fed-decreases-interest-rates-by-50-bps-after-september-2025-meeting,2,132932,,,71244899,76574713
fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting,2,88561,,,71246068,76574274
fed-increases-interest-rates-by-25-bps-after-october-2025-meeting,2,135981,,,72974284,78388298
fed-decreases-interest-rates-by-50-bps-after-october-2025-meeting,2,98636,,,72974284,78333523
fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting,2,114134,,,72974284,78333835
no-change-in-fed-interest-rates-after-october-2025-meeting,2,59910,,,72973098,78333704
fed-decreases-interest-rates-by-50-bps-after-december-2025-meeting,2,198413,,,74647804,80149920
fed-increases-interest-rates-by-25-bps-after-december-2025-meeting,2,190620,,,74662659,80149909
fed-decreases-interest-rates-by-25-bps-after-december-2025-meeting,2,173093,,,74662659,80149915
no-change-in-fed-interest-rates-after-december-2025-meeting,2,99286,,,74640640,80149929
fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,2,185323,,,76588561,82120799
fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,2,88469,,,76578041,82120738
no-change-in-fed-interest-rates-after-january-2026-meeting,2,234444,,,76588560,82120931
fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,2,182162,,,76588560,82120888
will-the-fed-increase-interest-rates-by-25-bps-after-the-march-2026-meeting,2,10980,,,78360335,82119976
will-the-fed-decrease-interest-rates-by-50-bps-after-the-march-2026-meeting,2,11312,,,78335829,82119583
will-there-be-no-change-in-fed-interest-rates-after-the-march-2026-meeting,2,9322,,,78350871,82120494
will-the-fed-decrease-interest-rates-by-25-bps-after-the-march-2026-meeting,2,9604,,,78340526,82120531
will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,2,3799,,,78954860,82117651
will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,2,3240,,,78970281,82093509
will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,2,2923,,,78961454,82118893
will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,2,2739,,,78970281,82117373
will-there-be-no-change-in-fed-interest-rates-after-the-june-2026-meeting,2,121,,,80167479,82110877
will-the-fed-decrease-interest-rates-by-50-bps-after-the-june-2026-meeting,2,185,,,80164748,82108163
will-the-fed-decrease-interest-rates-by-25-bps-after-the-june-2026-meeting,2,222,,,80167479,82085267
will-the-fed-increase-interest-rates-by-25-bps-after-the-june-2026-meeting,2,108,,,80167479,82095009
will-the-fed-increase-interest-rates-by-50-bps-after-the-june-2026-meeting,2,114,,,80150552,82006967
